,CO_UF_PROVA,TP_ADM_GERAL,TP_ADM_PUBLICA,TP_ADM_PRIVADA
0,11,58639,57996,643
1,11,58639,57996,613
2,11,58639,57996,736
3,11,58639,68981,643
4,11,58639,68981,613
5,11,58639,68981,736
6,11,58639,32065,643
7,11,58639,32065,613
8,11,58639,32065,736
9,11,69594,57996,643
10,11,69594,57996,613
11,11,69594,57996,736
12,11,69594,68981,643
13,11,69594,68981,613
14,11,69594,68981,736
15,11,69594,32065,643
16,11,69594,32065,613
17,11,69594,32065,736
18,11,32801,57996,643
19,11,32801,57996,613
20,11,32801,57996,736
21,11,32801,68981,643
22,11,32801,68981,613
23,11,32801,68981,736
24,11,32801,32065,643
25,11,32801,32065,613
26,11,32801,32065,736
27,12,38645,38306,339
28,12,38645,38306,378
29,12,38645,38306,366
30,12,38645,41446,339
31,12,38645,41446,378
32,12,38645,41446,366
33,12,38645,19970,339
34,12,38645,19970,378
35,12,38645,19970,366
36,12,41824,38306,339
37,12,41824,38306,378
38,12,41824,38306,366
39,12,41824,41446,339
40,12,41824,41446,378
41,12,41824,41446,366
42,12,41824,19970,339
43,12,41824,19970,378
44,12,41824,19970,366
45,12,20336,38306,339
46,12,20336,38306,378
47,12,20336,38306,366
48,12,20336,41446,339
49,12,20336,41446,378
50,12,20336,41446,366
51,12,20336,19970,339
52,12,20336,19970,378
53,12,20336,19970,366
54,13,118144,116551,1593
55,13,118144,116551,1888
56,13,118144,116551,1775
57,13,118144,161538,1593
58,13,118144,161538,1888
59,13,118144,161538,1775
60,13,118144,88003,1593
61,13,118144,88003,1888
62,13,118144,88003,1775
63,13,163426,116551,1593
64,13,163426,116551,1888
65,13,163426,116551,1775
66,13,163426,161538,1593
67,13,163426,161538,1888
68,13,163426,161538,1775
69,13,163426,88003,1593
70,13,163426,88003,1888
71,13,163426,88003,1775
72,13,89778,116551,1593
73,13,89778,116551,1888
74,13,89778,116551,1775
75,13,89778,161538,1593
76,13,89778,161538,1888
77,13,89778,161538,1775
78,13,89778,88003,1593
79,13,89778,88003,1888
80,13,89778,88003,1775
81,14,12956,12734,222
82,14,12956,12734,264
83,14,12956,12734,228
84,14,12956,16621,222
85,14,12956,16621,264
86,14,12956,16621,228
87,14,12956,7828,222
88,14,12956,7828,264
89,14,12956,7828,228
90,14,16885,12734,222
91,14,16885,12734,264
92,14,16885,12734,228
93,14,16885,16621,222
94,14,16885,16621,264
95,14,16885,16621,228
96,14,16885,7828,222
97,14,16885,7828,264
98,14,16885,7828,228
99,14,8056,12734,222
100,14,8056,12734,264
101,14,8056,12734,228
102,14,8056,16621,222
103,14,8056,16621,264
104,14,8056,16621,228
105,14,8056,7828,222
106,14,8056,7828,264
107,14,8056,7828,228
108,15,279593,273250,6343
109,15,279593,273250,6808
110,15,279593,273250,6592
111,15,279593,324075,6343
112,15,279593,324075,6808
113,15,279593,324075,6592
114,15,279593,179386,6343
115,15,279593,179386,6808
116,15,279593,179386,6592
117,15,330883,273250,6343
118,15,330883,273250,6808
119,15,330883,273250,6592
120,15,330883,324075,6343
121,15,330883,324075,6808
122,15,330883,324075,6592
123,15,330883,179386,6343
124,15,330883,179386,6808
125,15,330883,179386,6592
126,15,185978,273250,6343
127,15,185978,273250,6808
128,15,185978,273250,6592
129,15,185978,324075,6343
130,15,185978,324075,6808
131,15,185978,324075,6592
132,15,185978,179386,6343
133,15,185978,179386,6808
134,15,185978,179386,6592
135,16,42603,42018,585
136,16,42603,42018,602
137,16,42603,42018,594
138,16,42603,46661,585
139,16,42603,46661,602
140,16,42603,46661,594
141,16,42603,21180,585
142,16,42603,21180,602
143,16,42603,21180,594
144,16,47263,42018,585
145,16,47263,42018,602
146,16,47263,42018,594
147,16,47263,46661,585
148,16,47263,46661,602
149,16,47263,46661,594
150,16,47263,21180,585
151,16,47263,21180,602
152,16,47263,21180,594
153,16,21774,42018,585
154,16,21774,42018,602
155,16,21774,42018,594
156,16,21774,46661,585
157,16,21774,46661,602
158,16,21774,46661,594
159,16,21774,21180,585
160,16,21774,21180,602
161,16,21774,21180,594
162,17,46249,45641,608
163,17,46249,45641,881
164,17,46249,45641,860
165,17,46249,58328,608
166,17,46249,58328,881
167,17,46249,58328,860
168,17,46249,30013,608
169,17,46249,30013,881
170,17,46249,30013,860
171,17,59209,45641,608
172,17,59209,45641,881
173,17,59209,45641,860
174,17,59209,58328,608
175,17,59209,58328,881
176,17,59209,58328,860
177,17,59209,30013,608
178,17,59209,30013,881
179,17,59209,30013,860
180,17,30873,45641,608
181,17,30873,45641,881
182,17,30873,45641,860
183,17,30873,58328,608
184,17,30873,58328,881
185,17,30873,58328,860
186,17,30873,30013,608
187,17,30873,30013,881
188,17,30873,30013,860
189,21,218074,215326,2748
190,21,218074,215326,3093
191,21,218074,215326,3133
192,21,218074,235179,2748
193,21,218074,235179,3093
194,21,218074,235179,3133
195,21,218074,124772,2748
196,21,218074,124772,3093
197,21,218074,124772,3133
198,21,238272,215326,2748
199,21,238272,215326,3093
200,21,238272,215326,3133
201,21,238272,235179,2748
202,21,238272,235179,3093
203,21,238272,235179,3133
204,21,238272,124772,2748
205,21,238272,124772,3093
206,21,238272,124772,3133
207,21,127905,215326,2748
208,21,127905,215326,3093
209,21,127905,215326,3133
210,21,127905,235179,2748
211,21,127905,235179,3093
212,21,127905,235179,3133
213,21,127905,124772,2748
214,21,127905,124772,3093
215,21,127905,124772,3133
216,22,122312,119036,3276
217,22,122312,119036,3695
218,22,122312,119036,3648
219,22,122312,130983,3276
220,22,122312,130983,3695
221,22,122312,130983,3648
222,22,122312,76321,3276
223,22,122312,76321,3695
224,22,122312,76321,3648
225,22,134678,119036,3276
226,22,134678,119036,3695
227,22,134678,119036,3648
228,22,134678,130983,3276
229,22,134678,130983,3695
230,22,134678,130983,3648
231,22,134678,76321,3276
232,22,134678,76321,3695
233,22,134678,76321,3648
234,22,79969,119036,3276
235,22,79969,119036,3695
236,22,79969,119036,3648
237,22,79969,130983,3276
238,22,79969,130983,3695
239,22,79969,130983,3648
240,22,79969,76321,3276
241,22,79969,76321,3695
242,22,79969,76321,3648
243,23,294984,288273,6711
244,23,294984,288273,7547
245,23,294984,288273,7251
246,23,294984,318133,6711
247,23,294984,318133,7547
248,23,294984,318133,7251
249,23,294984,213266,6711
250,23,294984,213266,7547
251,23,294984,213266,7251
252,23,325680,288273,6711
253,23,325680,288273,7547
254,23,325680,288273,7251
255,23,325680,318133,6711
256,23,325680,318133,7547
257,23,325680,318133,7251
258,23,325680,213266,6711
259,23,325680,213266,7547
260,23,325680,213266,7251
261,23,220517,288273,6711
262,23,220517,288273,7547
263,23,220517,288273,7251
264,23,220517,318133,6711
265,23,220517,318133,7547
266,23,220517,318133,7251
267,23,220517,213266,6711
268,23,220517,213266,7547
269,23,220517,213266,7251
270,24,119319,116177,3142
271,24,119319,116177,3791
272,24,119319,116177,3669
273,24,119319,127434,3142
274,24,119319,127434,3791
275,24,119319,127434,3669
276,24,119319,77151,3142
277,24,119319,77151,3791
278,24,119319,77151,3669
279,24,131225,116177,3142
280,24,131225,116177,3791
281,24,131225,116177,3669
282,24,131225,127434,3142
283,24,131225,127434,3791
284,24,131225,127434,3669
