CO_UF_PROVA,VARIACAO_2019_2020,VARIACAO_2019_2021
11,18.68210576578727,-44.06282508228312
12,8.226161211023424,-47.377409755466424
13,38.32780335861321,-24.00968309859155
14,30.325717814140177,-37.82031491200988
15,18.344522216221435,-33.48259791911815
16,10.938196840598081,-48.89092317442434
17,28.02222750762178,-33.246124240524125
21,9.261993635188063,-41.34789108284344
22,10.110209954869518,-34.618843613055134
23,10.40598812138964,-25.244420036340955
24,9.978293482178032,-32.265607321549794
25,12.08688916671197,-30.69386312985813
26,14.620237762288568,-29.67524707882187
27,14.168819023868906,-37.005700035625225
28,12.380236469269192,-31.45958617877892
29,13.217104547742068,-32.6818856577826
31,7.96558335281739,-38.680570493336454
32,3.460346327965354,-37.245411790013
33,14.059979512298511,-29.839336386864318
35,11.5812693783012,-37.50487138322774
41,13.406623569609948,-31.718928946646102
42,9.443626410356003,-27.04089467836205
43,14.034485441870473,-31.118831504698605
50,20.108533518957856,-39.638884548179504
51,15.44013345286595,-36.35455793738156
52,24.172843863984,-19.452288504529946
53,21.996056296883637,-29.57568675729533
