Ano,CO_UF_PROVA,TP_ADM_GERAL,TP_ADM_PUBLICA,TP_ADM_PRIVADA
2019,11,58639,57996,643
2019,12,38645,38306,339
2019,13,118144,116551,1593
2019,14,12956,12734,222
2019,15,279593,273250,6343
2019,16,42603,42018,585
2019,17,46249,45641,608
2019,21,218074,215326,2748
2019,22,122312,119036,3276
2019,23,294984,288273,6711
2019,24,119319,116177,3142
2019,25,147176,143135,4041
2019,26,275317,268717,6600
2019,27,89824,87333,2491
2019,28,78488,75986,2502
2019,29,395427,386746,8681
2019,31,534625,520517,14108
2019,32,102273,99556,2717
2019,33,339716,321998,17718
2019,35,815990,773615,42375
2019,41,211306,201640,9666
2019,42,110699,105226,5473
2019,43,218469,211917,6552
2019,50,70393,68447,1946
2019,51,88121,86070,2051
2019,52,169980,164253,5727
2019,53,95849,90378,5471
2020,11,69594,68981,613
2020,12,41824,41446,378
2020,13,163426,161538,1888
2020,14,16885,16621,264
2020,15,330883,324075,6808
2020,16,47263,46661,602
2020,17,59209,58328,881
2020,21,238272,235179,3093
2020,22,134678,130983,3695
2020,23,325680,318133,7547
2020,24,131225,127434,3791
2020,25,164965,160152,4813
2020,26,315569,307250,8319
2020,27,102551,99146,3405
2020,28,88205,85222,2983
2020,29,447691,436607,11084
2020,31,577211,558486,18725
2020,32,105812,102505,3307
2020,33,387480,363720,23760
2020,35,910492,849031,61461
2020,41,239635,225272,14363
2020,42,121153,113716,7437
2020,43,249130,239657,9473
2020,50,84548,81990,2558
2020,51,101727,98880,2847
2020,52,211069,203304,7765
2020,53,116932,110087,6845
2021,11,32801,32065,736
2021,12,20336,19970,366
2021,13,89778,88003,1775
2021,14,8056,7828,228
2021,15,185978,179386,6592
2021,16,21774,21180,594
2021,17,30873,30013,860
2021,21,127905,124772,3133
2021,22,79969,76321,3648
2021,23,220517,213266,7251
2021,24,80820,77151,3669
2021,25,102002,97506,4496
2021,26,193616,185349,8267
2021,27,56584,53257,3327
2021,28,53796,51032,2764
2021,29,266194,254833,11361
2021,31,327829,309125,18704
2021,32,64181,61001,3180
2021,33,238347,215224,23123
2021,35,509954,452653,57301
2021,41,144282,130305,13977
2021,42,80765,72942,7823
2021,43,150484,141370,9114
2021,50,42490,40153,2337
2021,51,56085,53221,2864
2021,52,136915,129720,7195
2021,53,67501,61421,6080
