local,date,total,Não Declarada,Branca,Preta,Parda,Amarela,Indígena
Brasil,2009-01-01,4148720,0,953978,261167,889832,75544,17360
Brasil,2010-01-01,4626094,154282,1984880,542211,1800558,98959,30726
Brasil,2011-01-01,5380856,137585,2233960,657479,2180613,123058,34253
Brasil,2012-01-01,5791065,107217,2421372,694121,2400279,132320,35756
Brasil,2013-01-01,7173563,123891,2837096,891866,3114516,159630,46564
Brasil,2014-01-01,8722248,139441,3288858,1114019,3937196,187951,54783
Brasil,2015-01-01,7746427,124527,2843817,1013917,3528864,170228,44806
Brasil,2016-01-01,8627367,164629,3047482,1155766,4003922,201102,54253
Brasil,2017-01-01,6731341,127508,2355252,894916,3154520,155344,43801
Brasil,2018-01-01,5513747,114434,1981657,698694,2561318,123611,34033
Brasil,2019-01-01,5095270,103201,1831779,648309,2364063,116162,31756
Brasil,2020-01-01,5783133,116883,2007637,771744,2720500,128523,37846
Brasil,2021-01-01,3389832,71149,1362256,411302,1457454,68491,19175
