MESSOREGIAO,CLASSE,TD_ADM,ALUNOS,DESEMPENHO
Lower Amazon,1,Private,14,"6,25"
Lower Amazon,1,Public,615,"14,48"
Lower Amazon,2,Private,11,"5,14"
Lower Amazon,2,Public,1023,"24,08"
Lower Amazon,3,Private,41,"20,10"
Lower Amazon,3,Public,1958,"46,09"
Lower Amazon,4,Private,158,"95,18"
Lower Amazon,4,Public,652,"15,35"
Marajó,1,Private,4,"50,00"
Marajó,1,Public,390,"17,30"
Marajó,2,Private,1,"0,73"
Marajó,2,Public,609,"27,02"
Marajó,3,Private,3,"0,97"
Marajó,3,Public,1049,"46,54"
Marajó,4,Private,0,"0,00"
Marajó,4,Public,206,"9,14"
Metripolitan Area,1,Private,133,"2,91"
Metripolitan Area,1,Public,2222,"14,72"
Metripolitan Area,2,Private,173,"3,88"
Metripolitan Area,2,Public,3221,"21,34"
Metripolitan Area,3,Private,1026,"23,72"
Metripolitan Area,3,Public,7046,"46,69"
Metripolitan Area,4,Private,3239,"93,80"
Metripolitan Area,4,Public,2602,"17,24"
Notheastern,1,Private,18,"3,47"
Notheastern,1,Public,1448,"15,64"
Notheastern,2,Private,43,"8,11"
Notheastern,2,Public,2596,"28,04"
Notheastern,3,Private,153,"29,42"
Notheastern,3,Public,4144,"44,76"
Notheastern,4,Private,305,"69,63"
Notheastern,4,Public,1071,"11,57"
Southwest,1,Private,29,"11,89"
Southwest,1,Public,282,"15,28"
Southwest,2,Private,33,"12,74"
Southwest,2,Public,393,"21,30"
Southwest,3,Private,71,"24,83"
Southwest,3,Public,907,"49,16"
Southwest,4,Private,111,"24,18"
Southwest,4,Public,263,"14,25"
Sultheast,1,Private,44,"5,47"
Sultheast,1,Public,1283,"16,72"
Sultheast,2,Private,60,"7,88"
Sultheast,2,Public,1836,"23,93"
Sultheast,3,Private,244,"34,81"
Sultheast,3,Public,3487,"45,45"
Sultheast,4,Private,457,"100,00"
Sultheast,4,Public,1066,"13,89"
