MESSOREGIAO,CLASSE,TD_ADM,ALUNOS,DESEMPENHO
Lower Amazon,1,Private,58,"21,09"
Lower Amazon,1,Public,1239,"45,02"
Lower Amazon,2,Private,6,"2,76"
Lower Amazon,2,Public,509,"18,50"
Lower Amazon,3,Private,54,"25,59"
Lower Amazon,3,Public,799,"29,03"
Lower Amazon,4,Private,157,"100,00"
Lower Amazon,4,Public,205,"7,45"
Marajó,1,Private,0,"0,00"
Marajó,1,Public,521,"41,38"
Marajó,1,Private,0,"0,00"
Marajó,2,Public,281,"22,32"
Marajó,2,Private,0,"0,00"
Marajó,3,Public,399,"31,69"
Marajó,4,Private,0,"0,00"
Marajó,4,Public,58,"4,61"
Metripolitan Area,1,Private,646,"13,31"
Metripolitan Area,1,Public,3778,"38,87"
Metripolitan Area,2,Private,222,"5,21"
Metripolitan Area,2,Public,1726,"17,76"
Metripolitan Area,3,Private,1508,"37,08"
Metripolitan Area,3,Public,3301,"33,96"
Metripolitan Area,4,Private,2477,"90,27"
Metripolitan Area,4,Public,914,"9,40"
Notheastern,1,Private,53,"10,52"
Notheastern,1,Public,2190,"39,93"
Notheastern,2,Private,29,"5,70"
Notheastern,2,Public,1292,"23,56"
Notheastern,3,Private,185,"37,07"
Notheastern,3,Public,1720,"31,36"
Notheastern,4,Private,237,"60,31"
Notheastern,4,Public,282,"5,14"
Southwest,1,Private,58,"22,48"
Southwest,1,Public,641,"48,45"
Southwest,2,Private,19,"4,99"
Southwest,2,Public,179,"13,53"
Southwest,3,Private,79,"18,50"
Southwest,3,Public,404,"30,54"
Southwest,4,Private,102,"15,04"
Southwest,4,Public,99,"7,48"
Sultheast,1,Private,181,"19,28"
Sultheast,1,Public,2535,"44,14"
Sultheast,2,Private,65,"8,58"
Sultheast,2,Public,929,"16,18"
Sultheast,3,Private,330,"47,62"
Sultheast,3,Public,1844,"32,11"
Sultheast,4,Private,363,"100,00"
Sultheast,4,Public,435,"7,57"
